date,market_return,strategy_return,cum_market,cum_strategy
2025-01-03,-0.013415422931717647,-0.016143464906037908,-0.013415422931717602,-0.016143464906037908
2025-01-06,0.020503484241048992,0.02080941698566341,0.0068129983966638274,0.004330015986802271
2025-01-07,0.0013350169884653123,0.006291694414801397,0.008157110853731053,0.010648953539003969
2025-01-08,-0.00659649194984197,-0.008936178975163012,0.0015068105878084381,0.0016176136091181625
2025-01-09,0.0034854054147121366,0.0074483140254103745,0.0049974678483022394,0.009077976128661014
2025-01-10,-0.009191552934609376,-0.013036245131064984,-0.004240019576573828,-0.0040766117245111255
2025-01-13,-0.0030209277500593905,-0.00965366910555956,-0.007248138533833548,-0.0136909265694104
2025-01-14,0.0016735744884830873,0.0014566174060409276,-0.005586694345089738,-0.012254251605315347
2025-01-15,0.011689144605703822,0.01068452256273722,0.006037146582546615,-0.001700659870344623
2025-01-16,0.013030182218168582,0.015381673118035333,0.01914599392076366,0.01365485425348023
2025-01-17,0.008710692573002051,-0.001673704535850007,0.028023461360814128,0.011958295526129703
2025-01-20,0.00468890179059461,-0.0014800898629578675,0.032843762409562105,0.010460506311185336
2025-01-21,0.002676405415080849,-0.0001706171514458399,0.0356080710482074,0.010288104417949917
2025-01-22,0.0006524622856753315,-0.003953574407304816,0.03628376625730745,0.006293855224318579
2025-01-23,0.0038913793795931654,-0.005484592527553267,0.04031633953672831,0.0007747434654323815
2025-01-24,0.004541318174891451,0.006638674634331721,0.045040747037103035,0.007418561369556098
2025-01-27,0.004002262391619107,0.017852137526041,0.049223274316679166,0.025403136073411714
2025-01-28,0.004135455396831531,0.0016949008560974254,0.05356229036893345,0.02714109272658738
2025-01-29,-0.003039683932678619,0.0011081303060133773,0.050359794002822866,0.02827929889998937
2025-01-30,0.00944155861734208,0.011899370446167512,0.06027682756719965,0.04051517519972592
2025-01-31,0.0019071072526461146,0.011641205828966994,0.0622988891948657,0.052628026522389515
2025-02-03,-0.010600592592449836,-0.01559904048098879,0.05103789145909898,0.0362080393252433
2025-02-04,0.00687967971807153,0.010769180357467812,0.05826869552389469,0.047367150588595086
2025-02-05,-0.002446849466592893,-0.002585265009481752,0.05567927133074013,0.044659428942097845
2025-02-06,0.0143914053394254,0.010718443453469551,0.07087197963289005,0.05585655195934747
2025-02-07,-0.0020288588082653576,-0.004012118245042951,0.06869933158448727,0.05162033062308313
2025-02-10,0.0029993459605866636,0.0015103535628052446,0.0719047306077567,0.05320864913615808
2025-02-11,0.004462271111329169,0.0004603200510877148,0.07668786012124462,0.05369346219533444
2025-02-12,0.004085375657106355,0.007119497150939802,0.08108653449528602,0.06119522979739811
2025-02-13,0.014547149130810583,0.014970697244180875,0.09681326153590031,0.07708206229966397
2025-02-14,0.0033908251448221626,0.0018727614593370134,0.10053236352229078,0.07909918007448202
2025-02-17,0.0015256393478946806,-0.0025894758131676187,0.10221137899971189,0.07630487884767012
2025-02-18,-0.0018019627478596146,-0.003484518482568455,0.10022523515448745,0.07255447460444686
2025-02-19,-0.009456533386305376,-0.010694796609401957,0.08982091848579343,0.06108372264604833
2025-02-20,-0.003165170670445258,-0.005069210757602982,0.08637144927856433,0.055704865624493616
2025-02-21,0.004322824175006723,0.0006535087678173346,0.0910676420425427,0.05639477801040682
2025-02-24,-0.0003199616750257844,-0.017121680468656697,0.0907185422122283,0.03830752417255501
2025-02-25,-0.003373658079364336,0.0052699529461685875,0.08703883078998165,0.04377935596859728
2025-02-26,0.004765447723104077,0.014286772788560654,0.09221905751109549,0.05869159446871097
2025-02-27,-0.004490104143467391,0.008381735680911762,0.08731488019539091,0.06756526758115067
2025-02-28,-0.0001061229653107898,-0.0010419175430163464,0.08719949111607805,0.06645295260054307
2025-03-03,0.011660353012798538,0.0041283667470356725,0.09987662097782657,0.07085566150733724
2025-03-04,-0.01611568537484928,-0.022026925618781723,0.08215135540299556,0.047268003502863865
2025-03-05,0.025118160427672877,0.008898632097429826,0.10933300675503177,0.05658725617344573
2025-03-06,0.016130983162187137,0.004800536253039023,0.1272276388082556,0.06165944160120529
2025-03-07,-0.008371572068932461,-0.013669374741402973,0.11779097139187966,0.047147220846209814
2025-03-10,-0.008134192062957377,-0.013890187951615961,0.10869864494433834,0.03260214913564363
2025-03-11,-0.014153778126522631,-0.007107888713117005,0.09300637031461978,0.025262527974662108
2025-03-12,0.002463948965805618,-0.0006966711126676461,0.09569948223037539,0.024548257188521605
2025-03-13,-0.003909877056890257,-0.012727935929729895,0.09141543196355628,0.011507872614109793
2025-03-14,0.0068714612779707165,0.010071401865847696,0.09891505084247365,0.021695174889675206
2025-03-17,0.0038147811084419253,0.0022780187527333905,0.10310717121820989,0.02402261565765107
2025-03-18,0.006924582400045684,0.01586063280767429,0.11074572772139168,0.040264262351351165
2025-03-19,0.002274796997319231,-0.0028639640243613095,0.11327244876759734,0.03728498292814808
2025-03-20,-0.0070972186295123006,-0.005736713375665703,0.10537131080448114,0.03133437629220692
2025-03-21,-0.0085029409220748,-0.006756158594073902,0.0959724038517542,0.024366517682456568
2025-03-24,-0.0024520567953225797,0.00828522438679522,0.09328501727140348,0.03285362413577575
2025-03-25,0.008847720422643276,0.0014596975196047302,0.10295809744648565,0.03436127800904165
2025-03-26,-0.010511130814132968,-0.019438913919010203,0.09136476060171828,0.014254418164666438
2025-03-27,-0.0018117624936167004,0.010697585729634395,0.08938746686160504,0.025104491754643243
